Key,Domain,Topic,Difficulty,Question,Option1,Option2,Option3,Option4,CorrectAnswer,Description,ImagePath,SourceURL
Question_MQ_Parsed_Hobbies_Normal_11853,Hobbies,Hobbies,Normal,"The Ancient Romans generally ate three meals, of which ""cena"" was the most important. What kind of meal was it?",dinner,breakfast,lunch,elevenses,dinner,,,https://www.funtrivia.com/quiz/hobbies/when-in-rome-eat-as-the-romans-did-410782.html
Question_MQ_Parsed_Hobbies_Normal_11854,Hobbies,Hobbies,Normal,"Grain-based foods, such as a porridge called ""puls"" and various kinds of bread, were among the staples of Roman cuisine. What grain, a type of wheat, was used to make these basic foods?",buckwheat,quinoa,farro,sorghum,farro,"or einkorn. The ancient Romans predominantly grew and prepared emmer, but all three were known to them. All farro grains are wheat types that are genetically different, and also cannot be threshed in the same manner as the wheat we commonly consume today. Emmer was used to bake bread, usually a flat round. Most people did not have bread ovens, so communal ovens were used to bake bread loaves that were prepared in the home. In Pompeii, over 30 such commercial bakeries have been identified. The bread would be served with salt at a minimum, and sometimes was dipped in wine. Cheese and olives might be eaten along with the emmer bread. Puls porridge would have added meat and vegetables - similar to today's risotto. Player pusdoc has never baked bread with farro, but has certainly eaten her share of farro dishes.",,https://www.funtrivia.com/quiz/hobbies/when-in-rome-eat-as-the-romans-did-410782.html
Question_MQ_Parsed_Hobbies_Normal_11855,Hobbies,Hobbies,Normal,"The Romans also ate many vegetables, though some of those that are now associated with the Mediterranean diet were not yet known at the time. Which of these vegetables, still a mainstay of the cuisine of modern-day Rome, would you have found on a Roman table?",artichokes,tomatoes,peppers,spinach,artichokes,,,https://www.funtrivia.com/quiz/hobbies/when-in-rome-eat-as-the-romans-did-410782.html
Question_MQ_Parsed_Hobbies_Normal_11856,Hobbies,Hobbies,Normal,"Besides meat and seafood, the Romans enjoyed other sources of protein that now would be viewed as not for the faint of heart. What invertebrates (still popular in France) were farmed extensively around Rome?",snails,crickets,spiders,cicadas,snails,,,https://www.funtrivia.com/quiz/hobbies/when-in-rome-eat-as-the-romans-did-410782.html
Question_MQ_Parsed_Hobbies_Normal_11857,Hobbies,Hobbies,Normal,"Nuts grow abundantly in the Mediterranean basin, and were used by the Romans in savoury and sweet dishes. An especially delicious sauce or spread called ""moretum"", which also included cheese, garlic, and herbs, is considered by some to be the ancestor of which well-known Italian pasta sauce?",bolognese,marinara,carbonara,pesto,pesto,"It is a spread similar to pesto. His recipe was a spread crushed together with a mortar and pestle that included coriander, celery seed, garlic, and pecorino. Pine nuts were similarly used with a mortar and pestle to create pesto, but a variety of nuts could be added to achieve different flavor profiles. Moretum cheese spread was slathered on bread, and was a poor farmer's meal. Modern pesto is thought to have originated in Genoa, Italy. It is a sauce made from olive oil, pine nuts, salt, basil leaves, and Pecorino or Parmesan cheese. Jaknginger of Phoenix Rising's Red Crew will whip up a version of moretum the next time she comes home with fresh baked bread.",,https://www.funtrivia.com/quiz/hobbies/when-in-rome-eat-as-the-romans-did-410782.html
Question_MQ_Parsed_Hobbies_Normal_11858,Hobbies,Hobbies,Normal,"No quiz about Ancient Roman cuisine would be complete without a mention of ""garum"", a pungent condiment that could command very high prices. Which modern condiment, widespread in Southeast Asia, resembles it most?",mustard,hot sauce,fish sauce,ketchup,fish sauce,"Garum production yields significant odors, so the factories were generally located outside of town - Pompeii was known to be a center for garum production, but the factory has yet to be uncovered. The most prized garum hailed from the Iberian Peninsula: Cartagena and areas of Portugal were most famous for excellent garum. As with Vietnamese fish sauce, and Worcestershire sauce (which also contains fish!), the condiment added umami flavors to the food being prepared. It was available in three grades - the wealthy consumed true garum, next quality was ""liquamen"", and the poor had to be satisfied with the dregs remaining after garum and liquamen were harvested; that paste was called ""allec"", and would be eaten with porridge. Player pusdoc cooks with nuoc mam and Worcestershire sauce, so she wouldn't turn up her nose at trying garum.",,https://www.funtrivia.com/quiz/hobbies/when-in-rome-eat-as-the-romans-did-410782.html
Question_MQ_Parsed_Hobbies_Normal_11859,Hobbies,Hobbies,Normal,"A wide variety of desserts were enjoyed in Ancient Rome, even though refined sugar or fresh butter were not available to Roman pastry cooks. One of these, called ""placenta"", was one of the earliest versions of which luscious modern dessert, often associated with New York City?",tiramisu,apple pie,cheesecake,crème brulée,cheesecake,"the Latin ""placenta"" means layered, thin flat breads. A recipe for placenta cake can be found in ""De agri cultura"" by Cato the Elder (3rd-2nd century BC): a thin pastry dough is spread with cheese and honey, and layered until all ingredients are used up, it is then baked in the oven, and more honey is poured over the top before serving. Bay leaves may have been added as a flavouring. The word ""placenta"" being used as a name for the mammalian organ of pregnancy is because it is thought to resemble a placenta cake in shape and appearance. Some modern cultures make desserts similar to the Roman placenta cake, with their name being derivations of the word. Romania (""placinta"") and Serbia (""palacinke""), both layered desserts, often including nuts and syrup. The New York cheesecake that has evolved from the placenta cake has moved on from the layers of pastry in favour of more filling. Red Crew's smpdit has layers.",,https://www.funtrivia.com/quiz/hobbies/when-in-rome-eat-as-the-romans-did-410782.html
Question_MQ_Parsed_Hobbies_Normal_11860,Hobbies,Hobbies,Normal,"In Ancient Rome, wine was normally mixed with water before drinking. The everyday drink of soldiers and the lower classes, however, was an acidic concoction called ""posca"", which appears in the narration of the Passion of Jesus Christ. What was its main ingredient?",vinegar,sour milk,brine,lemon juice,vinegar,,,https://www.funtrivia.com/quiz/hobbies/when-in-rome-eat-as-the-romans-did-410782.html
Question_MQ_Parsed_Hobbies_Normal_11861,Hobbies,Hobbies,Normal,"Not all Roman citizens had access to a fully equipped kitchen, and those who lived in apartment buildings availed themselves of a number of establishments viewed as the forerunners of modern fast food restaurants, pubs, and wine bars. How were these places generally regarded?",they were patronized only by the lower classes,"everyone went there, even the wealthiest Romans",,,they were patronized only by the lower classes,,,https://www.funtrivia.com/quiz/hobbies/when-in-rome-eat-as-the-romans-did-410782.html
Question_MQ_Parsed_Hobbies_Normal_11862,Hobbies,Hobbies,Normal,"The Ancient Romans generally ate three meals, of which ""cena"" was the most important. What kind of meal was it?",dinner,breakfast,lunch,elevenses,dinner,,,https://www.funtrivia.com/quiz/hobbies/when-in-rome-eat-as-the-romans-did-410782.html
